stepmother,tiya
younger sister,pagkakasunud-sunod_ng_kapanganakan
son,anak
mother's brother,not found
father's brother,Tiyu
father-in-law,Biyenan
nephew,Pamangkin
stepdaughter,masama_tiya
older brother,not found
father,ama
grandmother,lola
niece,Pamangkin
daughter-in-law,Law_sons
granddaughter,apong_babae
mother's sister,not found
sister,Sister
daughter,bata
son-in-law,Law_sons
grandson,apo
brother,monghe
grandfather,lolo
father's sister,Aunt_in_law
mother,ina
stepfather,amain
