mother,mam
father,tad
son,mab
daughter,merch
grandmother,mam-gu
grandfather,tad-cu
granddaughter,wyres
stepmother,mam wen
son-in-law (of a man),mab yng nghyfraith (dyn)
son-in-law (of a woman),mab yng nghyfraith (dynes)
younger sister,chwaer iau
father's brother,brawd tad
nephew,nai
stepson,llysfab
stepdaughter,llysferch
mother-in-law (of a man),mam yng nghyfraith (dyn)
mother-in-law (of a woman),mam yng nghyfraith (dynes)
younger brother,brawd iau
niece,nith
sister,chwaer
brother,brawd
daughter-in-law (of a woman),merch yng nghyfraith (dynes)
daughter-in-law (of a man),merch yng nghyfraith (dyn)
father-in-law (of a man),tad yng nghyfraith (dyn)
father-in-law (of a woman),tad yng nghyfraith (dynes)
mother's sister,chwaer mam
mother's brother,brawd mam
father's sister,chwaer tad
father's brother,brawd tad
