mother,moder
father,fader
son,sone
daughter,doughter
grandmother,graunt-moder
grandfather,graunt-fader
grandson,neveu
granddaughter,nece
stepmother,step-moder
son-in-law (of a man),sone-in-laue
son-in-law (of a woman),sone-in-laue
older sister,older suster
younger sister,yongere suster
nephew,neveu
stepson,step-sone
stepdaughter,step-doughter
mother-in-law (of a man),moder-in-laue
mother-in-law (of a woman),moder-in-laue
niece,nece
sister,suster
brother,brother
daughter-in-law (of a woman),snore
daughter-in-law (of a man),snore
father-in-law (of a man),fader-lau
father-in-law (of a woman),fader in laue
