mother,432
father,438
daughter,131
son,146
younger sister,19.5
younger brother,25.5
older sister,19.5
older brother,25.5
maternal grandmother,10.5
paternal grandmother,10.5
maternal grandfather,8
paternal grandfather,8
daughter's daughter,1
son's daughter,1
daughter's son,1.5
son's son,1.5
older sister's daughter,0.25
younger sister's daughter,0.25
older brother's daughter,0.25
younger brother's daughter,0.25
older sister's son,0.3
younger sister's son,0.3
older brother's son,0.3
younger brother's son,0.3
mother's older sister,5
mother's younger sister,5
father's older sister,5
father's younger sister,5
mother's older brother,1.75
mother's younger brother,1.75
father's older brother,1.75
father's younger brother,1.75
