stepmother,0.001503866
-in-lawsister,0.003523452
younger sister,0.005863443
son,0.192702811
younger brother,0.006188386
mother's brother,0.000108807
father's brother,0.008760048
-in-lawfather,0.003436181
nephew,0.011940166
stepson,0.000405136
stepdaughter,0.000260678
older brother,0.00384487
father,0.282856329
grandmother,0.009900301
niece,0.013251371
older sister,0.002325218
-in-lawdaughter,0.001513622
brother,0.092690419
granddaughter,0.001994181
sister,0.033525747
-in-lawbrother,0.000475821
mother's sister,5.81E-05
daughter,0.086227887
-in-lawson,0.004912868
grandson,0.008517935
-in-lawmother,0.003289447
grandfather,0.013790255
father's sister,0.007569049
mother,0.197821798
stepfather,0.000741818
