,id,name
0,http://www.wikidata.org/entity/Q7560,ана
1,http://www.wikidata.org/entity/Q7565,ата
2,http://www.wikidata.org/entity/Q7566,ата-ана
3,http://www.wikidata.org/entity/Q31184,кардәш
4,http://www.wikidata.org/entity/Q76507,апа
5,http://www.wikidata.org/entity/Q76557,абзый
6,http://www.wikidata.org/entity/Q159979,Игезәкләр
7,http://www.wikidata.org/entity/Q167918,Баба
8,http://www.wikidata.org/entity/Q177232,ул
9,http://www.wikidata.org/entity/Q308194,кыз
10,http://www.wikidata.org/entity/Q2500620,картәби
11,http://www.wikidata.org/entity/Q2500621,картбабай
12,http://www.wikidata.org/entity/Q2914212,каенене
13,http://www.wikidata.org/entity/Q3238556,балдыз
14,http://www.wikidata.org/entity/Q3403377,кыз җиян
15,http://www.wikidata.org/entity/Q3752578,кияү
16,http://www.wikidata.org/entity/Q3813877,бабайның бертуганы
17,http://www.wikidata.org/entity/Q4113832,бертуганның оныгы
18,http://www.wikidata.org/entity/Q9235758,әби
19,http://www.wikidata.org/entity/Q9238344,бабай
20,http://www.wikidata.org/entity/Q10861465,бертуган
21,http://www.wikidata.org/entity/Q11921506,онык
22,http://www.wikidata.org/entity/Q11972456,бабайның бертуган кызы
23,http://www.wikidata.org/entity/Q12051531,тудыка
24,http://www.wikidata.org/entity/Q12160962,каената
25,http://www.wikidata.org/entity/Q15224724,җиян
26,http://www.wikidata.org/entity/Q18489480,килен
27,http://www.wikidata.org/entity/Q19682170,чулык
28,http://www.wikidata.org/entity/Q19682183,юлык
29,http://www.wikidata.org/entity/Q19756330,оныка
30,http://www.wikidata.org/entity/Q19901274,әти/әнинең тудыкасы
31,http://www.wikidata.org/entity/Q19901611,тудыканың баласы
32,http://www.wikidata.org/entity/Q20747487,кыз чулык
33,http://www.wikidata.org/entity/Q23045211,бертуганның улы
34,http://www.wikidata.org/entity/Q23045234,бертуган кызның улы
35,http://www.wikidata.org/entity/Q23045278,бертуганның кызы
36,http://www.wikidata.org/entity/Q42297295,кыз юлык
37,http://www.wikidata.org/entity/Q58240349,каенбаба
38,http://www.wikidata.org/entity/Q58465193,бибабай
39,http://www.wikidata.org/entity/Q58837291,карт картбабай
40,http://www.wikidata.org/entity/Q58896332,әбинең бертуганы
